registration_number,citation_count,application_number,title,source,status,error,fetched_at
10-1402422,3,10-2012-0119022,항온항습 장치용 실외기 및 이를 적용한 항온항습 시스템,kipris_citing_service,ok,,2026-06-11T17:39:11
10-1402428,0,10-2012-0088339,상품／서비스 관련 커뮤니케이션 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:11
10-1396013,2,10-2012-0075563,인지형 소셜 네트워크 구축 방법 및 서버,kipris_citing_service,ok,,2026-06-11T17:39:11
10-1396047,0,10-2012-0040840,정규표현식을 이용한 작업스케쥴링 방법 및 이를 적용한 전자기기,kipris_citing_service,ok,,2026-06-11T17:39:12
10-1390083,0,10-2011-0125028,포인터 이동을 기반으로 그래픽 버튼을 선택하는 사용자 인터페이스 방법 및 이를 적용한 전자장치,kipris_citing_service,ok,,2026-06-11T17:39:12
10-1383953,7,10-2012-0081133,위치／시간 기반의 자동 신변 보호 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:12
10-1372099,2,10-2012-0115263,멀티미디어 컨텐츠 공간 배치 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:12
10-1369563,2,10-2012-0054739,"멀티 통신채널, 멀티 디바이스 및 멀티 난수에 의한 멀티 인증 시스템 및 방법",kipris_citing_service,ok,,2026-06-11T17:39:12
10-1369029,1,10-2012-0085125,게이트웨이 무선 검색 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:13
10-1368561,0,10-2012-0063157,회전과 애니메이션 갭의 조합에 의한 ＧＵＩ 전환 방법 및 이를 적용한 전자기기,kipris_citing_service,ok,,2026-06-11T17:39:13
10-1361256,0,10-2012-0063158,데이터 시트에서의 데이터 검색용 ＧＵＩ 제공 방법 이를 적용한 전자기기,kipris_citing_service,ok,,2026-06-11T17:39:13
10-1361421,0,10-2011-0135240,네트워크 상의 정보주소관리방법 및 장치,kipris_citing_service,ok,,2026-06-11T17:39:13
10-1357394,10,10-2012-0096748,전력 관리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:14
10-1357367,1,10-2011-0109867,ＳＥ를 이용한 인증정보 관리방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:14
10-1335206,1,10-2011-0094243,원격 검침 시스템 및 그의 펌웨어 업데이트 방법,kipris_citing_service,ok,,2026-06-11T17:39:14
10-1326451,4,10-2012-0012424,복합 장애 조건을 이용하여 시스템 장애를 판단하는 시스템 장애 모니터링 방법 및 서버,kipris_citing_service,ok,,2026-06-11T17:39:14
10-1319791,0,10-2012-0114244,어드레스 범위 통합 기법을 이용한 라우팅 테이블 생성방법 및 이를 적용한 네트워크 장치,kipris_citing_service,ok,,2026-06-11T17:39:15
10-1314432,5,10-2011-0109696,ＳＥ를 탑재한 모바일 단말기를 이용한 네트워크 제어방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:15
10-1312177,4,10-2012-0044492,에너지 저장장치용 충방전 전력변환장치 및 그 제어방법,kipris_citing_service,ok,,2026-06-11T17:39:15
10-1306409,1,10-2012-0018947,전자 봉인 장치 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:15
10-1306513,2,10-2012-0018945,전자 봉인에 의한 시설물 개폐 모니터링 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:16
10-1302507,43,10-2011-0033494,ＳＮＳ를 이용한 마케팅 서비스 방법 및 장치,kipris_citing_service,ok,,2026-06-11T17:39:16
10-1297271,36,10-2011-0033493,소셜 네트워크 분석 서비스 방법 및 장치,kipris_citing_service,ok,,2026-06-11T17:39:16
10-1293854,5,10-2011-0109866,시설 이용 허가를 위한 사용자 인증 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:16
10-1293374,1,10-2012-0068132,모바일 환경에서 안전한 관리 권한 획득 방법 및 이를 적용한 시스템,kipris_citing_service,ok,,2026-06-11T17:39:17
10-1282477,1,10-2011-0100073,데이터 변조 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:17
10-1279721,7,10-2011-0111986,증강현실에서 컨텐츠 제공방법 및 이를 적용한 전자장치,kipris_citing_service,ok,,2026-06-11T17:39:17
