no,title,source_id,kind,size_bytes,size,raw_file,readable_file,named_file,open_method,url
63,출원방식심사기준 _ 유사상품·서비스업 심사기준(니스 제10판 기준),SRC-008-DOC-032,pdf,104020993,99.2 MB,SRC-008-DOC-032_bd4e24b20e.do,SRC-008-DOC-032_bd4e24b20e.pdf,063_SRC-008-DOC-032_출원방식심사기준 _ 유사상품·서비스업 심사기준(니스 제10판 기준).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=9
64,출원방식심사기준 _ 유사상품·서비스업 심사기준(니스 제9판 기준),SRC-008-DOC-033,pdf,32300462,30.8 MB,SRC-008-DOC-033_676650b77b.do,SRC-008-DOC-033_676650b77b.pdf,064_SRC-008-DOC-033_출원방식심사기준 _ 유사상품·서비스업 심사기준(니스 제9판 기준).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=10
65,출원방식심사기준 _ 유사상품·서비스업 심사기준(니스 제8판 기준),SRC-008-DOC-034,pdf,3847135,3.7 MB,SRC-008-DOC-034_91dd3c0e6d.do,SRC-008-DOC-034_91dd3c0e6d.pdf,065_SRC-008-DOC-034_출원방식심사기준 _ 유사상품·서비스업 심사기준(니스 제8판 기준).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=11
66,출원방식심사기준 _ 출원방식심사기준,SRC-008-DOC-035,pdf,49923025,47.6 MB,SRC-008-DOC-035_b4ccebd928.do,SRC-008-DOC-035_b4ccebd928.pdf,066_SRC-008-DOC-035_출원방식심사기준 _ 출원방식심사기준.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=12
67,출원방식심사기준 _ 등록업무 편람,SRC-008-DOC-036,pdf,6126099,5.8 MB,SRC-008-DOC-036_f28dbf3406.do,SRC-008-DOC-036_f28dbf3406.pdf,067_SRC-008-DOC-036_출원방식심사기준 _ 등록업무 편람.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=13
68,출원방식심사기준 _ NICE 국제상품분류 Class Heading 해설서,SRC-008-DOC-037,pdf,2983355,2.8 MB,SRC-008-DOC-037_a03e4b0673.do,SRC-008-DOC-037_a03e4b0673.pdf,068_SRC-008-DOC-037_출원방식심사기준 _ NICE 국제상품분류 Class Heading 해설서.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=14
69,출원방식심사기준 _ 디자인 물품류별 물품목록 (2026년),SRC-008-DOC-038,pdf,2138730,2.0 MB,SRC-008-DOC-038_6c670cfdef.do,SRC-008-DOC-038_6c670cfdef.pdf,069_SRC-008-DOC-038_출원방식심사기준 _ 디자인 물품류별 물품목록 (2026년).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=24
70,출원방식심사기준 _ 디자인 물품류별 물품목록 (2025년),SRC-008-DOC-039,pdf,3138149,3.0 MB,SRC-008-DOC-039_2ee132c806.do,SRC-008-DOC-039_2ee132c806.pdf,070_SRC-008-DOC-039_출원방식심사기준 _ 디자인 물품류별 물품목록 (2025년).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=23
71,출원방식심사기준 _ 디자인 물품류별 물품목록 (2024년),SRC-008-DOC-040,pdf,3316611,3.2 MB,SRC-008-DOC-040_c5fa3a9bcc.do,SRC-008-DOC-040_c5fa3a9bcc.pdf,071_SRC-008-DOC-040_출원방식심사기준 _ 디자인 물품류별 물품목록 (2024년).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=22
72,출원방식심사기준 _ 디자인 물품류별 물품목록 (2021년),SRC-008-DOC-041,pdf,3247551,3.1 MB,SRC-008-DOC-041_dc8363b3fe.do,SRC-008-DOC-041_dc8363b3fe.pdf,072_SRC-008-DOC-041_출원방식심사기준 _ 디자인 물품류별 물품목록 (2021년).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=15
73,출원방식심사기준 _ 디자이너를 위한 디자인출원도면 작성 가이드북,SRC-008-DOC-042,pdf,17552717,16.7 MB,SRC-008-DOC-042_ac5c060eab.do,SRC-008-DOC-042_ac5c060eab.pdf,073_SRC-008-DOC-042_출원방식심사기준 _ 디자이너를 위한 디자인출원도면 작성 가이드북.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=19
74,출원방식심사기준 _ 지식재산권 권리회복 심사 가이드라인,SRC-008-DOC-043,pdf,376836,368.0 KB,SRC-008-DOC-043_3be2e666f5.do,SRC-008-DOC-043_3be2e666f5.pdf,074_SRC-008-DOC-043_출원방식심사기준 _ 지식재산권 권리회복 심사 가이드라인.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=20
75,출원방식심사기준 _ 뷰어 프로그램 다운로드,SRC-008-DOC-044,html,4868,4.8 KB,SRC-008-DOC-044_22f48c5bdb.do,SRC-008-DOC-044_22f48c5bdb.html,075_SRC-008-DOC-044_출원방식심사기준 _ 뷰어 프로그램 다운로드.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/kipo/kipoContentView.do?menuCd=SCD0201127
76,보정안 리뷰 _ 다운로드,SRC-009-DOC-045,pdf,443978,433.6 KB,SRC-009-DOC-045_2b3beee5be.do,SRC-009-DOC-045_2b3beee5be.pdf,076_SRC-009-DOC-045_보정안 리뷰 _ 다운로드.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=3&fileNum=1
77,2026 지식재산권의 손쉬운 이용 _ 13.2026 지식재산권의 손쉬운 이용,SRC-016-DOC-046,pdf,31198191,29.8 MB,SRC-016-DOC-046_94af7dac4c.do,SRC-016-DOC-046_94af7dac4c.pdf,077_SRC-016-DOC-046_2026 지식재산권의 손쉬운 이용 _ 13.2026 지식재산권의 손쉬운 이용.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoBultnFileDown.do?ntatcSeq=17056&ntatcAtflSeq=1&sysCd=SCD02&aprchId=BUT0000048
78,"CEO·연구자를 위한 특허출원 전략 _ 014 지식재산처 지식재산처, 「CEO·연구자를 위한 특허출원 전략」 발간",SRC-017-DOC-047,zip/hwpx,129045,126.0 KB,SRC-017-DOC-047_e75b9d1c35.do,SRC-017-DOC-047_e75b9d1c35.hwpx,"078_SRC-017-DOC-047_CEO·연구자를 위한 특허출원 전략 _ 014 지식재산처 지식재산처, 「CEO·연구자를 위한 특허출원 전략」 발간.hwpx",HWPX 문서: 한글/한컴오피스로 열기,https://www.kipo.go.kr/ko/kpoBultnFileDown.do?ntatcSeq=20755&ntatcAtflSeq=1&sysCd=SCD02&aprchId=BUT0000029
79,"CEO·연구자를 위한 특허출원 전략 _ 014 지식재산처 지식재산처, 「CEO·연구자를 위한 특허출원 전략」 발간",SRC-017-DOC-048,pdf,188746,184.3 KB,SRC-017-DOC-048_55610739cc.do,SRC-017-DOC-048_55610739cc.pdf,"079_SRC-017-DOC-048_CEO·연구자를 위한 특허출원 전략 _ 014 지식재산처 지식재산처, 「CEO·연구자를 위한 특허출원 전략」 발간.pdf","PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoBultnFileDown.do?ntatcSeq=20755&ntatcAtflSeq=2&sysCd=SCD02&aprchId=BUT0000029
80,BM 특허 길라잡이 _ 5.BM 길라잡이,SRC-019-DOC-049,pdf,38861323,37.1 MB,SRC-019-DOC-049_d9429c4e00.do,SRC-019-DOC-049_d9429c4e00.pdf,080_SRC-019-DOC-049_BM 특허 길라잡이 _ 5.BM 길라잡이.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoBultnFileDown.do?ntatcSeq=16423&ntatcAtflSeq=2&sysCd=SCD02&aprchId=BUT0000048
81,통지서 표준 문안집 _ 통지서표준문안집,SRC-020-DOC-050,pdf,2325467,2.2 MB,SRC-020-DOC-050_61442a4b90.do,SRC-020-DOC-050_61442a4b90.pdf,081_SRC-020-DOC-050_통지서 표준 문안집 _ 통지서표준문안집.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoBultnFileDown.do?ntatcSeq=10148&ntatcAtflSeq=1&sysCd=&aprchId=BUT0000048
